qid,question_text,target,preprocessed_text
6d9610d5722f827ef9d9,Why IMEDITA is charging very high and providing low quality training?,0,"['imedita', 'charging', 'high', 'providing', 'low', 'quality', 'training']"
9f42072559b522e2a1b7,Does mastubate affects health?,0,"['doe', 'mastubate', 'affect', 'health']"
42bc22aad567185d7435,"A local town crank, that has caused much celebrated distress, passes away. As a local blogger you want to write about it. How do you go about it, saying how the town is better off with their passing, without coming off as gratuitously mean spirited?",0,"['local', 'town', 'crank', 'ha', 'caused', 'much', 'celebrated', 'distress', 'pass', 'away', 'local', 'blogger', 'want', 'write', 'go', 'saying', 'town', 'better', 'passing', 'without', 'coming', 'gratuitously', 'mean', 'spirited']"
55b7e8f829661ef09653,How do you prevent your wikiHow article from getting deleted?,0,"['prevent', 'wikihow', 'article', 'getting', 'deleted']"
57399d3b7ad9614b8def,How were the lightest American football cleats designed?,0,"['lightest', 'american', 'football', 'cleat', 'designed']"
137dda913f00e25b1800,Is there any reason to believe that Human beings are capable of understanding everything?,0,"['reason', 'believe', 'human', 'capable', 'understanding', 'everything']"
b6403a7da6bcbf999517,What's your favorite sport? Do you still play it?,0,"['favorite', 'sport', 'still', 'play']"
8bb3b3d5a309e1e98a3c,What is one of the best advice you would like to give to today's youngsters?,0,"['one', 'best', 'advice', 'would', 'like', 'give', 'today', 'youngster']"
621d02b671b7ee76c2b6,"Does social proof work to make things appear more valuable than they really are? If so, why?",0,"['doe', 'social', 'proof', 'work', 'make', 'thing', 'appear', 'valuable', 'really']"
01ec27bb90754860231b,"You're trapped in a room with a tiger, a rattlesnake and a lawyer. You have a gun with two bullets. What should you do?",0,"['trapped', 'room', 'tiger', 'rattlesnake', 'lawyer', 'gun', 'two', 'bullet']"
42f8bac131d17c4f818d,Which is the best ROI MBA colleges of world?,0,"['best', 'roi', 'mba', 'college', 'world']"
93e2f7cd6ddf0418e6fa,Are there major similarities between German and Turkish languages?,0,"['major', 'similarity', 'german', 'turkish', 'language']"
3a996a91f7c6ffaa2d34,Is smart work important or hardwork?,0,"['smart', 'work', 'important', 'hardwork']"
048d28ea31681078073f,Can I pay my entire EMI with interest before the due date?,0,"['pay', 'entire', 'emi', 'interest', 'due', 'date']"
cbb0e6db1c888897065e,"How do I move on from someone I believed to be the most compatible person I could've found, but they are not available?",0,"['move', 'someone', 'believed', 'compatible', 'person', 'could', 'found', 'available']"
d016635e255cbc5b3394,How can I master iitjee mathematics in one year?,0,"['master', 'iitjee', 'mathematics', 'one', 'year']"
8865565085f36dab67c4,What do you expect from Mahendra Singh Dhoni to do something good for Ranchi?,0,"['expect', 'mahendra', 'singh', 'dhoni', 'something', 'good', 'ranchi']"
5bed77058f234a81d074,Does getting a gaming mouse mat make a real difference in game?,0,"['doe', 'getting', 'gaming', 'mouse', 'mat', 'make', 'real', 'difference', 'game']"
7c47b2ea5f72f4b217cc,What do you think differenciate you from an hedge fund manager?,0,"['think', 'differenciate', 'hedge', 'fund', 'manager']"
c38d2460efe5a102ab87,What are some underrated Rahman songs?,0,"['underrated', 'rahman', 'song']"
bc0e067095874ea790dc,How do spacecrafts on long journeys fulfill the requirement of fuel?,0,"['spacecraft', 'long', 'journey', 'fulfill', 'requirement', 'fuel']"
623893ac0ce39528baee,"Does ""Kabasın"" mean ""You are rude"" in Turkish?",0,"['doe', 'kabasın', 'mean', 'rude', 'turkish']"
389b908d2a97c88e3f68,What controls the price of the flight from and to a particular place like Dubai?,0,"['control', 'price', 'flight', 'particular', 'place', 'like', 'dubai']"
652bf7873584588d295e,"How does dairy industry work in India? Are cows treated ""sacredly""?",0,"['doe', 'dairy', 'industry', 'work', 'india', 'cow', 'treated', 'sacredly']"
129f0b900e63eabaf2a1,What are the rules of Happiness?,0,"['rule', 'happiness']"
897cd54931deafd6323a,How can I get help for crossdressing (male to female) in Banglore? Is there any transformation service available?,0,"['get', 'help', 'crossdressing', 'male', 'female', 'banglore', 'transformation', 'service', 'available']"
7d31712cca06794aa129,What is the method of preparation for Maruti Suzuki all India engineering hiring test? What topics should I read to get selected in it?,0,"['method', 'preparation', 'maruti', 'suzuki', 'india', 'engineering', 'hiring', 'test', 'topic', 'read', 'get', 'selected']"
